luma,sRGB,HLG
49.5625,65535.0,63396.0
50.65625,65535.0,63431.0
51.78125,65535.0,63466.0
52.90625,65535.0,63501.0
54.09375,65535.0,63536.0
55.28125,65535.0,63570.0
56.5,65535.0,63603.0
57.75,65535.0,63637.0
59.03125,65535.0,63670.0
60.34375,65535.0,63704.0
61.6875,65535.0,63737.0
63.0625,65535.0,63770.0
64.4375,65535.0,63801.0
65.875,65535.0,63833.0
67.3125,65535.0,63864.0
68.8125,65535.0,63895.0
70.375,65535.0,63928.0
71.9375,65535.0,63958.0
73.5,65535.0,63988.0
75.125,65535.0,64018.0
76.8125,65535.0,64049.0
78.5,65535.0,64078.0
80.25,65535.0,64107.0
82.0,65535.0,64135.0
83.8125,65535.0,64164.0
85.6875,65535.0,64193.0
87.5625,65535.0,64221.0
89.5,65535.0,64248.0
91.5,65535.0,64276.0
93.5625,65535.0,64304.0
95.625,65535.0,64330.0
97.75,65535.0,64357.0
99.875,65535.0,64383.0
102.125,65535.0,64409.0
104.375,65535.0,64435.0
106.6875,65535.0,64460.0
109.0625,65535.0,64485.0
111.4375,65535.0,64510.0
113.9375,65535.0,64534.0
116.4375,65535.0,64559.0
119.0,65535.0,64582.0
121.6875,65535.0,64607.0
124.375,65535.0,64629.0
127.125,65535.0,64652.0
129.875,65535.0,64674.0
132.75,65535.0,64697.0
135.75,65535.0,64719.0
138.75,65535.0,64741.0
141.875,65535.0,64763.0
145.0,65535.0,64784.0
148.25,65535.0,64805.0
151.5,65535.0,64826.0
154.875,65535.0,64846.0
158.25,65535.0,64866.0
161.75,65535.0,64885.0
165.375,65535.0,64905.0
169.0,65535.0,64924.0
172.75,65535.0,64943.0
176.625,65535.0,64962.0
180.5,65535.0,64980.0
184.5,65535.0,64998.0
188.625,65535.0,65015.0
192.75,65535.0,65033.0
197.0,65535.0,65049.0
201.375,65535.0,65066.0
205.875,65535.0,65083.0
210.375,65535.0,65099.0
215.125,65535.0,65115.0
219.875,65535.0,65131.0
224.75,65535.0,65146.0
229.75,65535.0,65161.0
234.75,65535.0,65176.0
240.0,65535.0,65190.0
245.25,65535.0,65204.0
250.75,65535.0,65218.0
256.25,65535.0,65232.0
262.0,65535.0,65245.0
267.75,65535.0,65257.0
273.75,65535.0,65271.0
279.75,65535.0,65283.0
286.0,65535.0,65295.0
292.25,65535.0,65307.0
298.75,65535.0,65319.0
305.5,65535.0,65331.0
312.25,65535.0,65343.0
319.0,65535.0,65354.0
326.25,65535.0,65365.0
333.25,65535.0,65375.0
340.75,65535.0,65385.0
348.25,65535.0,65394.0
356.0,65535.0,65404.0
364.0,65535.0,65414.0
372.0,65535.0,65423.0
380.25,65535.0,65431.0
388.5,65535.0,65439.0
397.25,65535.0,65448.0
406.0,65535.0,65455.0
415.0,65535.0,65462.0
424.25,65535.0,65470.0
433.5,65535.0,65476.0
443.25,65535.0,65483.0
453.0,65535.0,65489.0
463.0,65535.0,65495.0
473.25,65535.0,65500.0
483.75,65535.0,65506.0
494.5,65535.0,65510.0
505.5,65535.0,65515.0
516.5,65535.0,65520.0
528.0,65535.0,65524.0
540.0,65535.0,65527.0
552.0,65535.0,65531.0
564.0,65535.0,65534.0
576.5,65535.0,65535.0
589.5,65535.0,65535.0
602.5,65535.0,65535.0
615.5,65535.0,65535.0
629.5,65535.0,65535.0
643.5,65535.0,65535.0
657.5,65535.0,65535.0
672.0,65535.0,65535.0
687.0,65535.0,65535.0
702.0,65535.0,65535.0
717.5,65535.0,65535.0
733.5,65535.0,65535.0
750.0,65535.0,65535.0
766.5,65535.0,65535.0
783.5,65535.0,65535.0
801.0,65535.0,65535.0
818.5,65535.0,65535.0
836.5,65535.0,65535.0
855.5,65535.0,65535.0
874.0,65535.0,65535.0
893.5,65535.0,65535.0
913.5,65535.0,65535.0
933.5,65535.0,65535.0
954.5,65535.0,65535.0
975.5,65535.0,65535.0
997.0,65535.0,65535.0
1019.0,65535.0,65535.0
1042.0,65535.0,65535.0
1065.0,65535.0,65535.0
1088.0,65535.0,65535.0
1112.0,65535.0,65535.0
1137.0,65535.0,65535.0
1162.0,65535.0,65535.0
1188.0,65535.0,65535.0
1214.0,65535.0,65535.0
1241.0,65535.0,65535.0
1269.0,65535.0,65535.0
1297.0,65535.0,65535.0
1326.0,65535.0,65535.0
1355.0,65535.0,65535.0
1385.0,65535.0,65535.0
